����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501104300,94.385,94.385,94.370,94.378,94.392,94.377,LOWやで～
20150501104400,94.378,94.380,94.366,94.372,94.387,94.373,LOWやで～
20150501104500,94.370,94.378,94.369,94.378,94.385,94.376,HIGHやで～
20150501104600,94.378,94.387,94.375,94.387,94.394,94.382,HIGHやで～
20150501104700,94.387,94.419,94.385,94.415,94.426,94.392,HIGHやで～
20150501104800,94.415,94.423,94.412,94.418,94.430,94.419,HIGHやで～
20150501104900,94.419,94.440,94.416,94.436,94.447,94.423,HIGHやで～
20150501105000,94.436,94.448,94.435,94.438,94.455,94.442,HIGHやで～
20150501105100,94.438,94.449,94.433,94.446,94.456,94.440,HIGHやで～
20150501105200,94.446,94.449,94.434,94.442,94.456,94.441,LOWやで～
20150501105300,94.442,94.456,94.438,94.441,94.463,94.445,LOWやで～
20150501105400,94.441,94.447,94.397,94.397,94.454,94.404,LOWやで～
20150501105500,94.398,94.402,94.393,94.394,94.409,94.400,LOWやで～
20150501105600,94.394,94.399,94.386,94.399,94.406,94.393,HIGHやで～
20150501105700,94.399,94.399,94.365,94.377,94.406,94.372,LOWやで～
20150501105800,94.373,94.374,94.356,94.363,94.381,94.363,LOWやで～
20150501105900,94.363,94.363,94.351,94.356,94.370,94.358,LOWやで～
20150501110000,94.356,94.357,94.341,94.346,94.364,94.348,LOWやで～
20150501110100,94.345,94.359,94.337,94.353,94.366,94.344,HIGHやで～
20150501110200,94.353,94.366,94.351,94.363,94.373,94.358,HIGHやで～
20150501110300,94.362,94.377,94.362,94.370,94.384,94.369,HIGHやで～
20150501110400,94.370,94.387,94.366,94.380,94.394,94.373,HIGHやで～
20150501110500,94.379,94.380,94.367,94.367,94.387,94.374,LOWやで～
20150501110600,94.367,94.376,94.367,94.374,94.383,94.374,HIGHやで～
20150501110700,94.374,94.375,94.357,94.372,94.382,94.364,LOWやで～
20150501110800,94.369,94.383,94.368,94.379,94.390,94.375,HIGHやで～
20150501110900,94.378,94.379,94.368,94.371,94.386,94.375,LOWやで～
20150501111000,94.371,94.378,94.348,94.362,94.385,94.355,LOWやで～
20150501111100,94.362,94.374,94.360,94.361,94.381,94.367,LOWやで～
20150501111200,94.360,94.374,94.357,94.368,94.381,94.364,HIGHやで～
20150501111300,94.368,94.373,94.356,94.356,94.380,94.363,LOWやで～
20150501111400,94.356,94.363,94.356,94.363,94.370,94.363,HIGHやで～
20150501111500,94.363,94.372,94.353,94.354,94.379,94.360,LOWやで～
20150501111600,94.355,94.361,94.291,94.310,94.368,94.298,LOWやで～
20150501111700,94.310,94.319,94.306,94.316,94.326,94.313,HIGHやで～
20150501111800,94.316,94.323,94.301,94.322,94.330,94.308,HIGHやで～
20150501111900,94.322,94.325,94.295,94.297,94.332,94.302,LOWやで～
20150501112000,94.297,94.298,94.280,94.280,94.305,94.287,LOWやで～
20150501112100,94.280,94.288,94.279,94.283,94.295,94.286,HIGHやで～
20150501112200,94.284,94.296,94.283,94.294,94.303,94.290,HIGHやで～
20150501112300,94.294,94.295,94.277,94.289,94.302,94.284,LOWやで～
20150501112400,94.289,94.292,94.283,94.283,94.299,94.290,LOWやで～
20150501112500,94.283,94.290,94.255,94.255,94.297,94.262,LOWやで～
20150501112600,94.255,94.257,94.236,94.244,94.264,94.243,LOWやで～
20150501112700,94.244,94.262,94.236,94.258,94.269,94.243,HIGHやで～
20150501112800,94.257,94.277,94.257,94.275,94.284,94.264,HIGHやで～
20150501112900,94.275,94.285,94.273,94.275,94.292,94.280,LOWやで～
20150501113000,94.275,94.283,94.268,94.281,94.290,94.275,HIGHやで～
20150501113100,94.281,94.305,94.281,94.300,94.312,94.288,HIGHやで～
20150501113200,94.300,94.315,94.300,94.307,94.322,94.307,HIGHやで～
20150501113300,94.308,94.314,94.285,94.300,94.321,94.292,LOWやで～
20150501113400,94.302,94.302,94.292,94.293,94.309,94.299,LOWやで～
20150501113500,94.293,94.304,94.292,94.302,94.311,94.299,HIGHやで～
20150501113600,94.302,94.312,94.301,94.310,94.319,94.308,HIGHやで～
20150501113700,94.310,94.323,94.307,94.323,94.330,94.314,HIGHやで～
20150501113800,94.323,94.328,94.313,94.316,94.335,94.320,LOWやで～
20150501113900,94.316,94.317,94.293,94.294,94.324,94.300,LOWやで～
20150501114000,94.294,94.301,94.287,94.298,94.308,94.294,HIGHやで～
20150501114100,94.298,94.300,94.291,94.297,94.307,94.298,LOWやで～
20150501114200,94.299,94.324,94.299,94.324,94.331,94.306,HIGHやで～
20150501114300,94.324,94.342,94.324,94.335,94.349,94.331,HIGHやで～
20150501114400,94.336,94.355,94.336,94.352,94.362,94.343,HIGHやで～
20150501114500,94.352,94.362,94.347,94.362,94.369,94.354,HIGHやで～
20150501114600,94.362,94.367,94.359,94.361,94.374,94.366,LOWやで～
20150501114700,94.361,94.396,94.361,94.394,94.403,94.368,HIGHやで～
20150501114800,94.395,94.402,94.393,94.397,94.409,94.400,HIGHやで～
20150501114900,94.397,94.397,94.394,94.396,94.404,94.401,LOWやで～
20150501115000,94.396,94.396,94.395,94.395,94.403,94.402,LOWやで～
20150501115100,94.395,94.397,94.394,94.395,94.404,94.401,LOWやで～
20150501115200,94.396,94.396,94.388,94.393,94.403,94.395,LOWやで～
20150501115300,94.393,94.393,94.387,94.393,94.400,94.394,LOWやで～
20150501115400,94.393,94.407,94.393,94.405,94.414,94.400,HIGHやで～
20150501115500,94.406,94.408,94.399,94.404,94.415,94.406,LOWやで～
20150501115600,94.404,94.432,94.404,94.432,94.439,94.411,HIGHやで～
20150501115700,94.432,94.444,94.425,94.425,94.451,94.432,LOWやで～
20150501115800,94.426,94.436,94.420,94.420,94.443,94.427,LOWやで～
20150501115900,94.420,94.421,94.418,94.419,94.428,94.425,LOWやで～
20150501120000,94.419,94.424,94.419,94.423,94.431,94.426,HIGHやで～
20150501120100,94.416,94.421,94.410,94.420,94.428,94.417,HIGHやで～
20150501120200,94.420,94.432,94.420,94.431,94.439,94.427,HIGHやで～
20150501120300,94.431,94.431,94.420,94.421,94.438,94.427,LOWやで～
20150501120400,94.421,94.429,94.420,94.427,94.436,94.427,HIGHやで～
20150501120500,94.427,94.430,94.427,94.430,94.437,94.434,HIGHやで～
20150501120600,94.430,94.430,94.421,94.424,94.437,94.428,LOWやで～
20150501120700,94.424,94.426,94.408,94.410,94.433,94.415,LOWやで～
20150501120800,94.410,94.412,94.403,94.410,94.419,94.410,LOWやで～
20150501120900,94.410,94.412,94.393,94.398,94.419,94.400,LOWやで～
20150501121000,94.399,94.407,94.390,94.407,94.414,94.397,HIGHやで～
20150501121100,94.407,94.419,94.406,94.419,94.426,94.413,HIGHやで～
