����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150502013000,94.048,94.065,94.046,94.054,94.072,94.053,HIGHやで～
20150502013100,94.054,94.067,94.053,94.053,94.074,94.060,LOWやで～
20150502013200,94.053,94.055,94.030,94.045,94.062,94.037,LOWやで～
20150502013300,94.045,94.069,94.045,94.069,94.076,94.052,HIGHやで～
20150502013400,94.068,94.077,94.046,94.048,94.084,94.053,LOWやで～
20150502013500,94.048,94.053,94.023,94.026,94.060,94.030,LOWやで～
20150502013600,94.027,94.037,94.026,94.026,94.044,94.033,LOWやで～
20150502013700,94.026,94.041,94.026,94.031,94.048,94.033,HIGHやで～
20150502013800,94.031,94.040,94.013,94.017,94.047,94.020,LOWやで～
20150502013900,94.015,94.028,94.009,94.025,94.035,94.016,HIGHやで～
20150502014000,94.021,94.031,94.020,94.029,94.038,94.027,HIGHやで～
20150502014100,94.029,94.052,94.029,94.050,94.059,94.036,HIGHやで～
20150502014200,94.050,94.069,94.043,94.051,94.076,94.050,HIGHやで～
20150502014300,94.050,94.065,94.040,94.055,94.072,94.047,HIGHやで～
20150502014400,94.055,94.067,94.052,94.055,94.074,94.059,LOWやで～
20150502014500,94.055,94.080,94.048,94.052,94.087,94.055,LOWやで～
20150502014600,94.052,94.064,94.027,94.038,94.071,94.034,LOWやで～
20150502014700,94.038,94.053,94.038,94.046,94.060,94.045,HIGHやで～
20150502014800,94.046,94.055,94.022,94.025,94.062,94.029,LOWやで～
20150502014900,94.025,94.040,94.018,94.030,94.047,94.025,HIGHやで～
20150502015000,94.030,94.040,94.025,94.038,94.047,94.032,HIGHやで～
20150502015100,94.038,94.057,94.038,94.050,94.064,94.045,HIGHやで～
20150502015200,94.051,94.059,94.039,94.048,94.066,94.046,LOWやで～
20150502015300,94.049,94.054,94.033,94.038,94.061,94.040,LOWやで～
20150502015400,94.038,94.041,94.026,94.026,94.048,94.033,LOWやで～
20150502015500,94.026,94.052,94.024,94.038,94.059,94.031,HIGHやで～
20150502015600,94.037,94.057,94.030,94.057,94.064,94.037,HIGHやで～
20150502015700,94.058,94.072,94.048,94.067,94.079,94.055,HIGHやで～
20150502015800,94.066,94.066,94.031,94.033,94.073,94.038,LOWやで～
20150502015900,94.033,94.037,94.013,94.019,94.044,94.020,LOWやで～
20150502020000,94.020,94.035,94.006,94.015,94.042,94.013,LOWやで～
20150502020100,94.015,94.042,94.013,94.041,94.049,94.020,HIGHやで～
20150502020200,94.041,94.055,94.031,94.055,94.062,94.038,HIGHやで～
20150502020300,94.054,94.066,94.049,94.058,94.073,94.056,HIGHやで～
20150502020400,94.061,94.064,94.050,94.051,94.071,94.057,LOWやで～
20150502020500,94.051,94.058,94.038,94.055,94.065,94.045,HIGHやで～
20150502020600,94.055,94.076,94.044,94.065,94.083,94.051,HIGHやで～
20150502020700,94.064,94.077,94.053,94.076,94.084,94.060,HIGHやで～
20150502020800,94.076,94.084,94.061,94.075,94.091,94.068,LOWやで～
20150502020900,94.075,94.087,94.066,94.071,94.094,94.073,LOWやで～
20150502021000,94.072,94.083,94.068,94.076,94.090,94.075,HIGHやで～
20150502021100,94.075,94.077,94.055,94.074,94.084,94.062,LOWやで～
20150502021200,94.074,94.084,94.069,94.075,94.091,94.076,HIGHやで～
20150502021300,94.075,94.092,94.065,94.087,94.099,94.072,HIGHやで～
20150502021400,94.087,94.098,94.083,94.087,94.105,94.090,LOWやで～
20150502021500,94.087,94.110,94.087,94.103,94.117,94.094,HIGHやで～
20150502021600,94.103,94.109,94.098,94.098,94.116,94.105,LOWやで～
20150502021700,94.098,94.114,94.096,94.107,94.121,94.103,HIGHやで～
20150502021800,94.107,94.122,94.100,94.115,94.129,94.107,HIGHやで～
20150502021900,94.115,94.142,94.115,94.140,94.149,94.122,HIGHやで～
20150502022000,94.140,94.156,94.140,94.147,94.163,94.147,HIGHやで～
20150502022100,94.147,94.160,94.147,94.159,94.167,94.154,HIGHやで～
20150502022200,94.159,94.159,94.135,94.136,94.166,94.142,LOWやで～
20150502022300,94.136,94.187,94.133,94.170,94.194,94.140,HIGHやで～
20150502022400,94.170,94.170,94.151,94.162,94.177,94.158,LOWやで～
20150502022500,94.162,94.168,94.153,94.156,94.175,94.160,LOWやで～
20150502022600,94.156,94.164,94.148,94.164,94.171,94.155,HIGHやで～
20150502022700,94.164,94.168,94.153,94.166,94.175,94.160,HIGHやで～
20150502022800,94.165,94.190,94.165,94.173,94.197,94.172,HIGHやで～
20150502022900,94.172,94.195,94.171,94.191,94.202,94.178,HIGHやで～
20150502023000,94.186,94.194,94.180,94.182,94.201,94.187,LOWやで～
20150502023100,94.179,94.182,94.179,94.179,94.189,94.186,LOWやで～
20150502023200,94.179,94.180,94.167,94.167,94.187,94.174,LOWやで～
20150502023300,94.167,94.203,94.167,94.200,94.210,94.174,HIGHやで～
20150502023400,94.200,94.203,94.182,94.185,94.210,94.189,LOWやで～
20150502023500,94.184,94.192,94.179,94.180,94.199,94.186,LOWやで～
20150502023600,94.178,94.181,94.166,94.178,94.188,94.173,LOWやで～
20150502023700,94.178,94.188,94.170,94.181,94.195,94.177,HIGHやで～
20150502023800,94.181,94.185,94.168,94.176,94.192,94.175,LOWやで～
20150502023900,94.176,94.183,94.162,94.170,94.190,94.169,LOWやで～
20150502024000,94.170,94.170,94.156,94.162,94.177,94.163,LOWやで～
20150502024100,94.162,94.166,94.137,94.140,94.173,94.144,LOWやで～
20150502024200,94.139,94.147,94.134,94.139,94.154,94.141,LOWやで～
20150502024300,94.139,94.139,94.127,94.128,94.146,94.134,LOWやで～
20150502024400,94.128,94.128,94.114,94.126,94.135,94.121,LOWやで～
20150502024500,94.124,94.132,94.122,94.129,94.139,94.129,HIGHやで～
20150502024600,94.129,94.131,94.105,94.108,94.138,94.112,LOWやで～
20150502024700,94.108,94.109,94.096,94.098,94.116,94.103,LOWやで～
20150502024800,94.098,94.113,94.097,94.113,94.120,94.104,HIGHやで～
20150502024900,94.113,94.129,94.111,94.120,94.136,94.118,HIGHやで～
20150502025000,94.119,94.139,94.119,94.129,94.146,94.126,HIGHやで～
20150502025100,94.129,94.137,94.115,94.125,94.144,94.122,LOWやで～
20150502025200,94.125,94.139,94.121,94.131,94.146,94.128,HIGHやで～
20150502025300,94.131,94.132,94.117,94.128,94.139,94.124,LOWやで～
20150502025400,94.128,94.136,94.121,94.130,94.143,94.128,HIGHやで～
20150502025500,94.130,94.130,94.114,94.117,94.137,94.121,LOWやで～
20150502025600,94.117,94.131,94.110,94.126,94.138,94.117,HIGHやで～
20150502025700,94.126,94.127,94.111,94.116,94.134,94.118,LOWやで～
20150502025800,94.116,94.119,94.107,94.107,94.126,94.114,LOWやで～
20150502025900,94.108,94.122,94.106,94.113,94.129,94.113,HIGHやで～
20150502030000,94.113,94.122,94.113,94.119,94.129,94.120,HIGHやで～
20150502030100,94.120,94.127,94.120,94.121,94.134,94.127,HIGHやで～
20150502030200,94.121,94.125,94.119,94.120,94.132,94.126,LOWやで～
20150502030300,94.120,94.123,94.106,94.106,94.130,94.113,LOWやで～
20150502030400,94.112,94.116,94.108,94.114,94.123,94.115,HIGHやで～
20150502030500,94.114,94.136,94.114,94.133,94.143,94.121,HIGHやで～
20150502030600,94.132,94.137,94.128,94.132,94.144,94.135,LOWやで～
20150502030700,94.132,94.137,94.120,94.136,94.144,94.127,HIGHやで～
20150502030800,94.136,94.138,94.132,94.135,94.145,94.139,LOWやで～
20150502030900,94.135,94.145,94.134,94.138,94.152,94.141,HIGHやで～
20150502031000,94.138,94.144,94.136,94.142,94.151,94.143,HIGHやで～
20150502031100,94.143,94.174,94.143,94.149,94.181,94.150,HIGHやで～
20150502031200,94.149,94.149,94.137,94.149,94.156,94.144,LOWやで～
20150502031300,94.149,94.169,94.149,94.165,94.176,94.156,HIGHやで～
20150502031400,94.165,94.168,94.159,94.162,94.175,94.166,LOWやで～
20150502031500,94.162,94.170,94.151,94.151,94.177,94.158,LOWやで～
20150502031600,94.151,94.154,94.137,94.141,94.161,94.144,LOWやで～
20150502031700,94.141,94.150,94.140,94.140,94.157,94.147,LOWやで～
20150502031800,94.138,94.150,94.136,94.138,94.157,94.143,LOWやで～
20150502031900,94.138,94.149,94.134,94.148,94.156,94.141,HIGHやで～
20150502032000,94.149,94.154,94.129,94.145,94.161,94.136,LOWやで～
20150502032100,94.145,94.145,94.132,94.139,94.152,94.139,LOWやで～
20150502032200,94.142,94.148,94.140,94.145,94.155,94.147,HIGHやで～
20150502032300,94.145,94.146,94.133,94.141,94.153,94.140,LOWやで～
20150502032400,94.142,94.155,94.142,94.152,94.162,94.149,HIGHやで～
20150502032500,94.153,94.153,94.148,94.149,94.160,94.155,LOWやで～
20150502032600,94.149,94.168,94.149,94.162,94.175,94.156,HIGHやで～
20150502032700,94.162,94.163,94.155,94.161,94.170,94.162,LOWやで～
20150502032800,94.162,94.166,94.154,94.163,94.173,94.161,HIGHやで～
20150502032900,94.163,94.171,94.157,94.164,94.178,94.164,HIGHやで～
20150502033000,94.164,94.165,94.146,94.151,94.172,94.153,LOWやで～
20150502033100,94.151,94.154,94.141,94.151,94.161,94.148,LOWやで～
20150502033200,94.151,94.156,94.138,94.138,94.163,94.145,LOWやで～
20150502033300,94.138,94.141,94.128,94.139,94.148,94.135,HIGHやで～
20150502033400,94.138,94.144,94.130,94.130,94.151,94.137,LOWやで～
20150502033500,94.132,94.143,94.130,94.140,94.150,94.137,HIGHやで～
20150502033600,94.140,94.145,94.136,94.137,94.152,94.143,LOWやで～
20150502033700,94.137,94.137,94.120,94.120,94.144,94.127,LOWやで～
20150502033800,94.120,94.132,94.120,94.125,94.139,94.127,HIGHやで～
20150502033900,94.126,94.126,94.092,94.094,94.133,94.099,LOWやで～
20150502034000,94.093,94.103,94.092,94.103,94.110,94.099,HIGHやで～
20150502034100,94.103,94.103,94.088,94.097,94.110,94.095,LOWやで～
20150502034200,94.097,94.100,94.083,94.083,94.107,94.090,LOWやで～
20150502034300,94.083,94.088,94.077,94.077,94.095,94.084,LOWやで～
20150502034400,94.077,94.085,94.072,94.072,94.092,94.079,LOWやで～
20150502034500,94.071,94.082,94.056,94.082,94.089,94.063,HIGHやで～
20150502034600,94.083,94.086,94.071,94.082,94.093,94.078,LOWやで～
20150502034700,94.082,94.094,94.078,94.082,94.101,94.085,LOWやで～
20150502034800,94.082,94.085,94.081,94.081,94.092,94.088,LOWやで～
20150502034900,94.081,94.084,94.068,94.079,94.091,94.075,LOWやで～
20150502035000,94.079,94.080,94.060,94.060,94.087,94.067,LOWやで～
20150502035100,94.059,94.059,94.043,94.055,94.066,94.050,LOWやで～
20150502035200,94.055,94.058,94.055,94.056,94.065,94.062,HIGHやで～
20150502035300,94.049,94.061,94.044,94.057,94.068,94.051,HIGHやで～
20150502035400,94.057,94.066,94.049,94.050,94.073,94.056,LOWやで～
20150502035500,94.050,94.059,94.046,94.049,94.066,94.053,LOWやで～
20150502035600,94.049,94.055,94.049,94.053,94.062,94.056,HIGHやで～
20150502035700,94.053,94.055,94.043,94.046,94.062,94.050,LOWやで～
20150502035800,94.045,94.059,94.043,94.059,94.066,94.050,HIGHやで～
20150502035900,94.060,94.096,94.042,94.096,94.103,94.049,HIGHやで～
20150502040000,94.095,94.101,94.094,94.097,94.108,94.101,HIGHやで～
20150502040100,94.096,94.106,94.090,94.106,94.113,94.097,HIGHやで～
20150502040200,94.112,94.115,94.100,94.102,94.122,94.107,LOWやで～
20150502040300,94.102,94.113,94.095,94.113,94.120,94.102,HIGHやで～
20150502040400,94.113,94.126,94.113,94.126,94.133,94.120,HIGHやで～
20150502040500,94.126,94.128,94.116,94.117,94.135,94.123,LOWやで～
20150502040600,94.117,94.136,94.117,94.128,94.143,94.124,HIGHやで～
20150502040700,94.129,94.129,94.124,94.126,94.136,94.131,LOWやで～
20150502040800,94.126,94.126,94.115,94.118,94.133,94.122,LOWやで～
20150502040900,94.118,94.122,94.113,94.114,94.129,94.120,LOWやで～
20150502041000,94.114,94.120,94.088,94.092,94.127,94.095,LOWやで～
20150502041100,94.092,94.101,94.092,94.100,94.108,94.099,HIGHやで～
20150502041200,94.100,94.101,94.081,94.081,94.108,94.088,LOWやで～
20150502041300,94.081,94.089,94.079,94.080,94.096,94.086,LOWやで～
20150502041400,94.080,94.084,94.070,94.081,94.091,94.077,HIGHやで～
20150502041500,94.081,94.089,94.077,94.085,94.096,94.084,HIGHやで～
20150502041600,94.085,94.085,94.073,94.078,94.092,94.080,LOWやで～
20150502041700,94.077,94.080,94.074,94.079,94.087,94.081,HIGHやで～
20150502041800,94.079,94.080,94.070,94.071,94.087,94.077,LOWやで～
20150502041900,94.071,94.076,94.058,94.062,94.083,94.065,LOWやで～
20150502042000,94.062,94.075,94.054,94.071,94.082,94.061,HIGHやで～
20150502042100,94.071,94.080,94.068,94.075,94.087,94.075,HIGHやで～
20150502042200,94.075,94.080,94.073,94.079,94.087,94.080,HIGHやで～
20150502042300,94.079,94.081,94.072,94.073,94.088,94.079,LOWやで～
20150502042400,94.073,94.092,94.069,94.092,94.099,94.076,HIGHやで～
20150502042500,94.092,94.099,94.088,94.097,94.106,94.095,HIGHやで～
20150502042600,94.096,94.097,94.092,94.097,94.104,94.099,HIGHやで～
20150502042700,94.097,94.106,94.094,94.094,94.113,94.101,LOWやで～
20150502042800,94.094,94.095,94.081,94.089,94.102,94.088,LOWやで～
20150502042900,94.089,94.106,94.085,94.106,94.113,94.092,HIGHやで～
20150502043000,94.106,94.108,94.097,94.099,94.115,94.104,LOWやで～
20150502043100,94.099,94.101,94.096,94.096,94.108,94.103,LOWやで～
20150502043200,94.096,94.102,94.095,94.100,94.109,94.102,HIGHやで～
20150502043300,94.100,94.103,94.098,94.103,94.110,94.105,HIGHやで～
20150502043400,94.103,94.112,94.103,94.107,94.119,94.110,HIGHやで～
20150502043500,94.106,94.124,94.105,94.124,94.131,94.112,HIGHやで～
20150502043600,94.123,94.125,94.120,94.123,94.132,94.127,LOWやで～
20150502043700,94.123,94.141,94.122,94.136,94.148,94.129,HIGHやで～
20150502043800,94.136,94.141,94.129,94.129,94.148,94.136,LOWやで～
20150502043900,94.128,94.140,94.119,94.139,94.147,94.126,HIGHやで～
20150502044000,94.141,94.141,94.127,94.138,94.148,94.134,LOWやで～
20150502044100,94.138,94.148,94.135,94.135,94.155,94.142,LOWやで～
20150502044200,94.135,94.136,94.126,94.132,94.143,94.133,LOWやで～
20150502044300,94.131,94.143,94.131,94.134,94.150,94.138,HIGHやで～
20150502044400,94.135,94.142,94.133,94.138,94.149,94.140,HIGHやで～
20150502044500,94.138,94.141,94.128,94.132,94.148,94.135,LOWやで～
20150502044600,94.132,94.136,94.126,94.136,94.143,94.133,HIGHやで～
20150502044700,94.136,94.159,94.135,94.155,94.166,94.142,HIGHやで～
20150502044800,94.155,94.172,94.155,94.171,94.179,94.162,HIGHやで～
20150502044900,94.171,94.174,94.156,94.156,94.181,94.163,LOWやで～
20150502045000,94.156,94.168,94.153,94.166,94.175,94.160,HIGHやで～
20150502045100,94.166,94.169,94.157,94.166,94.176,94.164,LOWやで～
20150502045200,94.166,94.190,94.164,94.187,94.197,94.171,HIGHやで～
20150502045300,94.187,94.191,94.173,94.183,94.198,94.180,LOWやで～
20150502045400,94.182,94.182,94.169,94.179,94.189,94.176,LOWやで～
20150502045500,94.179,94.191,94.178,94.188,94.198,94.185,HIGHやで～
20150502045600,94.188,94.197,94.182,94.196,94.204,94.189,HIGHやで～
20150502045700,94.196,94.201,94.178,94.192,94.208,94.185,LOWやで～
20150502045800,94.190,94.196,94.165,94.178,94.203,94.172,LOWやで～
20150502045900,94.179,94.187,94.162,94.166,94.194,94.169,LOWやで～
20150502050000,94.167,94.179,94.158,94.174,94.186,94.165,HIGHやで～
20150502050100,94.172,94.183,94.165,94.172,94.190,94.172,LOWやで～
20150502050200,94.171,94.183,94.168,94.170,94.190,94.175,LOWやで～
20150502050300,94.170,94.172,94.165,94.165,94.179,94.172,LOWやで～
20150502050400,94.165,94.165,94.158,94.160,94.172,94.165,LOWやで～
20150502050500,94.160,94.165,94.158,94.160,94.172,94.165,LOWやで～
20150502050600,94.161,94.161,94.158,94.161,94.168,94.165,LOWやで～
20150502050700,94.161,94.161,94.157,94.157,94.168,94.164,LOWやで～
20150502050800,94.157,94.157,94.153,94.154,94.164,94.160,LOWやで～
20150502050900,94.154,94.158,94.153,94.156,94.165,94.160,HIGHやで～
20150502051000,94.152,94.152,94.136,94.136,94.159,94.143,LOWやで～
20150502051100,94.136,94.144,94.135,94.136,94.151,94.142,LOWやで～
20150502051200,94.136,94.143,94.134,94.135,94.150,94.141,LOWやで～
20150502051300,94.135,94.138,94.135,94.138,94.145,94.142,HIGHやで～
20150502051400,94.138,94.140,94.131,94.135,94.147,94.138,LOWやで～
20150502051500,94.136,94.147,94.136,94.147,94.154,94.143,HIGHやで～
20150502051600,94.147,94.148,94.142,94.143,94.155,94.149,LOWやで～
20150502051700,94.143,94.155,94.135,94.147,94.162,94.142,HIGHやで～
20150502051800,94.147,94.157,94.147,94.156,94.164,94.154,HIGHやで～
20150502051900,94.156,94.158,94.156,94.158,94.165,94.163,HIGHやで～
20150502052000,94.158,94.160,94.158,94.159,94.167,94.165,HIGHやで～
20150502052100,94.159,94.159,94.151,94.151,94.166,94.158,LOWやで～
20150502052200,94.150,94.151,94.146,94.149,94.158,94.153,LOWやで～
20150502052300,94.147,94.155,94.147,94.155,94.162,94.154,HIGHやで～
20150502052400,94.155,94.158,94.147,94.148,94.165,94.154,LOWやで～
20150502052500,94.147,94.148,94.138,94.145,94.155,94.145,LOWやで～
20150502052600,94.145,94.153,94.142,94.150,94.160,94.149,HIGHやで～
20150502052700,94.150,94.151,94.145,94.146,94.158,94.152,LOWやで～
20150502052800,94.146,94.160,94.146,94.160,94.167,94.153,HIGHやで～
20150502052900,94.158,94.175,94.158,94.175,94.182,94.165,HIGHやで～
20150502053000,94.174,94.174,94.162,94.163,94.181,94.169,LOWやで～
20150502053100,94.163,94.163,94.145,94.150,94.170,94.152,LOWやで～
20150502053200,94.150,94.158,94.149,94.157,94.165,94.156,HIGHやで～
20150502053300,94.157,94.158,94.144,94.145,94.165,94.151,LOWやで～
20150502053400,94.145,94.148,94.145,94.148,94.155,94.152,HIGHやで～
20150502053500,94.148,94.152,94.141,94.151,94.159,94.148,HIGHやで～
20150502053600,94.151,94.153,94.143,94.144,94.160,94.150,LOWやで～
20150502053700,94.144,94.145,94.072,94.108,94.167,94.130,LOWやで～
20150502053800,94.108,94.110,94.089,94.095,94.167,94.147,LOWやで～
20150502053900,94.095,94.135,94.095,94.104,94.163,94.134,HIGHやで～
20150502054000,94.097,94.097,94.088,94.095,94.167,94.155,LOWやで～
20150502054100,94.095,94.127,94.089,94.127,94.171,94.130,HIGHやで～
20150502054200,94.127,94.137,94.117,94.127,94.188,94.131,LOWやで～
20150502054300,94.126,94.157,94.120,94.127,94.195,94.148,HIGHやで～
20150502054400,94.127,94.155,94.115,94.139,94.198,94.153,HIGHやで～
20150502054500,94.139,94.140,94.132,94.138,94.199,94.186,LOWやで～
20150502054600,94.138,94.138,94.130,94.134,94.198,94.192,LOWやで～
20150502054700,94.137,94.139,94.130,94.138,94.200,94.190,HIGHやで～
20150502054800,94.138,94.154,94.138,94.153,94.207,94.178,HIGHやで～
20150502054900,94.153,94.185,94.149,94.165,94.263,94.182,HIGHやで～
20150502055000,94.165,94.192,94.165,94.192,94.272,94.252,HIGHやで～
20150502055100,94.194,94.214,94.187,94.201,94.280,94.231,HIGHやで～
20150502055200,94.191,94.191,94.164,94.166,94.254,94.233,LOWやで～
20150502055300,94.166,94.178,94.143,94.173,94.256,94.218,HIGHやで～
20150502055400,94.173,94.185,94.173,94.184,94.263,94.252,HIGHやで～
20150502055500,94.183,94.226,94.158,94.220,94.326,94.260,HIGHやで～
20150502055600,94.250,94.260,94.218,94.254,94.359,94.305,HIGHやで～
20150502055700,94.254,94.278,94.244,94.264,94.375,94.330,HIGHやで～
20150502055800,94.264,94.300,94.239,94.252,94.408,94.349,LOWやで～
20150502055900,94.268,94.353,94.216,94.351,94.413,94.345,HIGHやで～
